161
finger, 144, AtLocation, glove, 414
finger, 144, AtLocation, hand, 86
camera, 6, HasA, flash, 190
ball, 59, HasContext, baseball, 76
movement, 469, HasContext, baseball, 76
pair, 207, HasContext, baseball, 76
pitcher, 413, HasContext, baseball, 76
ball, 59, IsA, pitch, 227
direction, 282, IsA, position, 113
occlusion, 432, IsA, position, 113
orientation, 290, IsA, position, 113
pair, 207, IsA, set, 300
pitcher, 413, IsA, position, 113
system, 110, IsA, method, 342
ball, 59, PartOf, hand, 86
finger, 144, PartOf, hand, 86
finger, 144, PartOf, glove, 414
camera, 6, UsedFor, photography, 131
camera, 6, UsedFor, picture, 264
lens, 180, AtLocation, camera, 6
coherence, 340, HasContext, physics, 105
motion, 14, HasContext, physics, 105
parameter, 65, HasContext, physics, 105
phase, 208, HasContext, physics, 105
pressure, 525, HasContext, physics, 105
s, 34, HasContext, physics, 105
spin, 251, HasContext, physics, 105
baseball, 76, HasPrerequisite, ball, 59
approach, 11, IsA, motion, 14
approach, 11, IsA, movement, 469
baseball, 76, IsA, ball, 59
image, 13, IsA, visualize, 519
pitch, 227, IsA, position, 466
pose, 149, IsA, position, 466
position, 113, IsA, orientation, 290
lens, 180, PartOf, camera, 6
use, 697, Causes, apply, 972
run, 775, HasPrerequisite, do, 834
address, 589, IsA, use, 697
capture, 678, IsA, represent, 857
cause, 769, IsA, make, 563
determine, 816, IsA, cause, 769
exert, 974, IsA, use, 697
exploit, 818, IsA, use, 697
identify, 804, IsA, determine, 816
imply, 567, IsA, have, 893
increase, 849, IsA, process, 817
intend, 696, IsA, plan, 999
make, 563, IsA, cause, 769
paint, 725, IsA, represent, 857
plan, 999, IsA, intend, 696
present, 568, IsA, introduce, 606
run, 775, IsA, process, 817
take, 752, IsA, use, 697
track, 947, IsA, make, 563
track, 947, IsA, observe, 888
use, 697, IsA, exploit, 818
wear, 882, IsA, have, 893
237
scattering, 46, FormOf, scatter, 124
count, 291, IsA, number, 219
highlight, 330, IsA, light, 30
system, 12, IsA, method, 395
technique, 73, IsA, method, 395
term, 11, IsA, point, 174
number, 219, AtLocation, equation, 210
approach, 88, Entails, advance, 61
terms, 111, FormOf, term, 11
point, 174, IsA, component, 4
product, 323, IsA, result, 22
simulation, 62, IsA, model, 349
simulation, 62, IsA, technique, 73
use, 677, Causes, apply, 634
choose, 607, Entails, compare, 725
include, 455, Entails, have, 431
write, 617, HasPrerequisite, plan, 746
assume, 549, IsA, take, 620
bear, 434, IsA, have, 431
bear, 434, IsA, take, 620
define, 503, IsA, show, 732
exploit, 447, IsA, use, 677
hold, 565, IsA, include, 455
include, 455, IsA, add, 706
incorporate, 739, IsA, include, 455
keep, 581, IsA, have, 431
output, 647, IsA, produce, 411
play, 679, IsA, use, 677
play, 679, IsA, show, 732
play, 679, IsA, exploit, 447
plot, 727, IsA, plan, 746
present, 402, IsA, introduce, 414
produce, 411, IsA, output, 647
render, 642, IsA, produce, 411
take, 620, IsA, use, 677
use, 677, IsA, exploit, 447
write, 617, IsA, trace, 717
136
mat, 20, AtLocation, frame, 226
person, 322, Desires, care, 400
work, 103, HasSubevent, problem, 181
approach, 419, IsA, similarity, 151
technique, 22, IsA, method, 3
person, 322, NotDesires, difficulty, 436
person, 322, NotDesires, restriction, 91
number, 135, AtLocation, equation, 414
care, 400, IsA, work, 103
director, 23, IsA, person, 322
edge, 102, IsA, person, 322
phenomenon, 205, IsA, process, 393
mechanism, 420, UsedFor, function, 157
mechanism, 420, UsedFor, work, 103
use, 487, Causes, apply, 801
cast, 579, Entails, film, 809
cast, 579, Entails, perform, 744
check, 765, Entails, move, 729
include, 706, Entails, have, 846
move, 729, Entails, play, 581
transfer, 827, Entails, move, 729
play, 581, HasContext, film, 809
take, 813, HasContext, film, 809
perform, 744, HasSubevent, do, 829
address, 678, IsA, use, 487
approach, 536, IsA, address, 678
assume, 633, IsA, move, 729
assume, 633, IsA, take, 813
capture, 548, IsA, represent, 621
check, 765, IsA, move, 729
collect, 774, IsA, take, 813
cover, 717, IsA, play, 581
define, 752, IsA, show, 680
develop, 514, IsA, play, 581
develop, 514, IsA, create, 505
do, 829, IsA, create, 505
extract, 517, IsA, obtain, 614
film, 809, IsA, record, 572
flow, 803, IsA, move, 729
hold, 746, IsA, capture, 548
hold, 746, IsA, cover, 717
hold, 746, IsA, include, 706
identify, 724, IsA, determine, 789
implement, 541, IsA, use, 487
introduce, 513, IsA, project, 644
place, 807, IsA, estimate, 555
play, 581, IsA, use, 487
play, 581, IsA, show, 680
play, 581, IsA, move, 729
play, 581, IsA, perform, 744
present, 587, IsA, introduce, 513
project, 644, IsA, show, 680
recover, 522, IsA, cover, 717
represent, 621, IsA, describe, 521
share, 837, IsA, use, 487
take, 813, IsA, use, 487
transfer, 827, IsA, move, 729
