2003
server, 2, IsA, computer, 7
computer, 7, PartOf, network, 8
2895
information, 2, AtLocation, television, 24
memory, 32, AtLocation, computer, 108
program, 36, AtLocation, computer, 108
program, 36, AtLocation, television, 24
call, 63, HasContext, telephone, 129
module, 170, HasContext, computer, 108
appliance, 51, IsA, device, 1
call, 63, IsA, instruction, 74
call, 63, IsA, telephone, 129
call, 63, IsA, order, 159
circuit, 20, IsA, group, 16
command, 105, IsA, order, 159
communication, 135, IsA, connection, 73
converter, 130, IsA, device, 1
data, 10, IsA, information, 2
decoder, 13, IsA, machine, 88
information, 2, IsA, data, 10
instruction, 74, IsA, code, 156
interface, 53, IsA, connection, 73
interface, 53, IsA, program, 36
number, 95, IsA, information, 2
program, 36, IsA, system, 0
system, 0, IsA, group, 16
system, 0, IsA, method, 96
television, 24, IsA, appliance, 51
television, 24, IsA, device, 1
television, 24, IsA, machine, 88
program, 36, MadeOf, instructions, 98
display, 21, PartOf, computer, 108
instruction, 74, PartOf, program, 36
memory, 32, PartOf, computer, 108
module, 170, PartOf, system, 0
memory, 32, UsedFor, function, 176
connection, 73, AtLocation, circuit, 20
detector, 54, Causes, signal, 11
instructions, 98, FormOf, instruction, 74
detector, 54, IsA, device, 1
display, 21, IsA, communication, 135
format, 75, IsA, information, 2
group, 16, IsA, unit, 40
key, 181, IsA, device, 1
keyboard, 45, IsA, device, 1
machine, 88, IsA, device, 1
mechanism, 67, IsA, device, 1
medium, 46, IsA, communication, 135
network, 97, IsA, system, 0
order, 159, IsA, command, 105
phone, 111, IsA, device, 1
pressure, 56, IsA, distress, 60
signal, 150, IsA, communication, 135
tool, 6, IsA, device, 1
keyboard, 45, PartOf, terminal, 38
computer, 108, UsedFor, communication, 135
phone, 111, UsedFor, communication, 135
telephone, 129, UsedFor, communication, 135
couple, 323, CapableOf, communicate, 249
include, 467, Entails, have, 194
implement, 368, IsA, use, 382
send, 291, IsA, transmit, 288
2356
cellphone, 2, IsA, phone, 3
microprocessor, 31, IsA, chip, 15
phone, 3, IsA, machine, 28
machine, 28, UsedFor, phone, 3
2259
data, 36, AtLocation, database, 4
food, 48, AtLocation, store, 47
database, 4, HasA, information, 8
group, 118, HasContext, music, 15
part, 86, HasContext, music, 15
set, 27, HasContext, music, 15
step, 77, HasContext, music, 15
system, 13, HasContext, music, 15
data, 36, IsA, information, 8
database, 4, IsA, information, 8
group, 118, IsA, set, 27
information, 8, IsA, data, 36
subsystem, 31, IsA, system, 13
system, 13, IsA, group, 118
system, 13, UsedFor, store, 47
music, 15, HasA, information, 8
set, 27, HasContext, exercise, 78
example, 17, IsA, information, 8
frame, 35, IsA, part, 86
set, 27, IsA, exercise, 78
system, 13, IsA, method, 74
include, 263, Entails, have, 455
generating, 208, FormOf, generate, 436
storing, 134, FormOf, store, 296
burn, 309, IsA, execute, 135
serve, 131, IsA, provide, 360
take, 136, IsA, receive, 349
take, 136, IsA, use, 139
